N,Triton (GB/s),Torch (GB/s),Naive Softmax (GB/s)
128.000000,89.460217,220.143323,63.447036
256.000000,212.983687,259.873391,65.643564
384.000000,253.538189,270.748989,64.203388
512.000000,235.925050,184.875983,50.863582
640.000000,239.537566,249.345494,57.815291
768.000000,194.060061,263.924443,59.923357
896.000000,275.784596,285.584599,70.274509
1024.000000,275.005464,284.864117,69.156238
1152.000000,263.371194,274.393623,71.327462
1280.000000,277.642420,284.939131,71.390817
1408.000000,267.028824,285.026750,69.023346
1536.000000,229.952951,231.889454,66.062907
1664.000000,270.416910,288.275923,72.905121
1792.000000,282.811971,284.204118,58.020541
1920.000000,211.920844,288.046284,61.560699
2048.000000,199.365861,277.628744,73.199514
2176.000000,204.999096,214.232629,64.993528
2304.000000,243.469828,230.683473,60.493280
2432.000000,211.940664,244.231845,67.906536
2560.000000,286.193569,264.299030,73.466869
2688.000000,285.631830,265.419266,73.713829
2816.000000,288.100533,272.704482,73.101660
2944.000000,282.952048,250.096178,65.230840
3072.000000,226.150218,264.940804,72.931911
3200.000000,287.989927,278.052350,74.020622
3328.000000,281.053266,282.907026,73.052415
3456.000000,288.921317,280.438073,73.907958
3584.000000,285.481875,287.552981,54.962406
3712.000000,215.809752,269.496368,69.865727
3840.000000,283.948148,283.396932,54.963019
3968.000000,254.085173,285.164034,72.748903
4096.000000,289.595852,290.171615,56.439724
